"ALT"	"AST"	"Creatinine"	"CystatinC"	"Glucose"	"HbA1c"	"LDL"	"SBP"	"Triglycerides"
"ALT"	1	0.716041084630753	0.170277538551938	0.0305892173714115	0.102976591821649	0.0244037631281258	-0.0607488932954461	-0.0855401578659945	-0.0556992009476265
"AST"	0.716041084630753	1	0.0470354053501558	-0.0263649323865328	-0.315557810159866	-0.308466992072353	-0.031149319764164	0.0259803485972265	0.0722468259289359
"Creatinine"	0.170277538551938	0.0470354053501558	1	0.676562405017364	0.414252512705327	0.322263128241284	-0.69204684897277	-0.306246570406971	-0.75247354257264
"CystatinC"	0.0305892173714115	-0.0263649323865328	0.676562405017364	1	0.30822097319938	-0.146900492340521	-0.737242449453391	-0.367823314018648	-0.710299566916118
"Glucose"	0.102976591821649	-0.315557810159866	0.414252512705327	0.30822097319938	1	0.502093134776459	0.026483709890314	0.181725885498489	-0.289082294560205
"HbA1c"	0.0244037631281258	-0.308466992072353	0.322263128241284	-0.146900492340521	0.502093134776459	1	0.0526148726135891	0.119047969468533	-0.169384723489352
"LDL"	-0.0607488932954461	-0.031149319764164	-0.69204684897277	-0.737242449453391	0.026483709890314	0.0526148726135891	1	0.440379731477489	0.593680303290871
"SBP"	-0.0855401578659945	0.0259803485972265	-0.306246570406971	-0.367823314018648	0.181725885498489	0.119047969468533	0.440379731477489	1	0.534080665063027
"Triglycerides"	-0.0556992009476265	0.0722468259289359	-0.75247354257264	-0.710299566916118	-0.289082294560205	-0.169384723489352	0.593680303290871	0.534080665063027	1
