run	K	evid
558	2	6649.856320572919
773	2	6649.8563205913415
142	2	6649.856320714507
993	2	6649.856320714518
699	2	6649.856320724825
409	2	6649.856320753619
748	2	6649.856320887795
583	2	6649.856320895746
674	2	6649.856320922014
524	2	6649.856320964916
677	2	6649.856320999671
729	2	6649.856321032727
423	2	6649.85632104564
978	2	6649.856321084973
696	2	6649.856321094602
143	2	6649.856321117737
670	2	6649.856321148814
3	2	6649.856321195611
635	2	6649.856321261728
811	2	6649.856321265417
722	2	6649.856321317541
440	2	6649.8563213337475
723	2	6649.856321366626
689	2	6649.8563213676825
878	2	6649.856321406036
12	2	6649.856321432512
927	2	6649.856321449868
851	2	6649.856321474865
475	2	6649.85632148202
937	2	6649.8563214870965
261	2	6649.856321490227
585	2	6649.856321499132
163	2	6649.85632152184
582	2	6649.856321529746
378	2	6649.856321530869
862	2	6649.856321600086
928	2	6649.856321609435
900	2	6649.856321628784
10	2	6649.856321650989
316	2	6649.856321688347
224	2	6649.8563217773735
872	2	6649.856321802494
248	2	6649.856321807019
187	2	6649.856321869431
609	2	6649.856321906804
57	2	6649.856321915013
605	2	6649.85632198559
308	2	6649.856322004487
747	2	6649.8563220585675
850	2	6649.856322060431
447	2	6649.8563220874585
227	2	6649.856322098956
714	2	6649.8563221184295
893	2	6649.856322124478
836	2	6649.856322153053
169	2	6649.856322156398
65	2	6649.856322163331
269	2	6649.856322207985
717	2	6649.8563222415905
108	2	6649.856322274825
468	2	6649.856322283439
888	2	6649.856322304884
202	2	6649.85632234765
20	2	6649.856322372787
90	2	6649.856322381226
899	2	6649.856322451284
577	2	6649.856322536968
725	2	6649.856322544269
416	2	6649.856322559606
243	2	6649.856322574657
565	2	6649.856322590023
990	2	6649.856322607723
75	2	6649.856322617207
68	2	6649.85632264062
371	2	6649.856322769596
244	2	6649.856322787188
334	2	6649.856322860191
114	2	6649.856322897106
209	2	6649.856322938762
466	2	6649.856322977136
92	2	6649.856323008275
640	2	6649.856323041175
526	2	6649.85632304995
402	2	6649.856323088611
531	2	6649.856323102573
411	2	6649.856323146989
112	2	6649.856323190479
949	2	6649.8563231924445
351	2	6649.856323198166
776	2	6649.856323198234
720	2	6649.856323215535
683	2	6649.856323281889
509	2	6649.856323342559
79	2	6649.856323439437
996	2	6649.856323445776
753	2	6649.856323456637
594	2	6649.856323488218
991	2	6649.8563234962985
906	2	6649.8563236046575
789	2	6649.856323624512
257	2	6649.8563236925975
83	2	6649.856323755507
89	2	6649.856323768859
109	2	6649.856323790014
763	2	6649.856323845929
135	2	6649.856323859274
16	2	6649.8563238721445
944	2	6649.856323878346
665	2	6649.856323880322
510	2	6649.85632392065
386	2	6649.856323943679
99	2	6649.856323958863
339	2	6649.856323971631
178	2	6649.856323984723
866	2	6649.856324008746
30	2	6649.8563240484655
968	2	6649.85632407519
606	2	6649.856324081368
238	2	6649.856324089248
77	2	6649.85632410503
414	2	6649.856324129473
353	2	6649.856324149427
276	2	6649.856324219259
941	2	6649.8563243527115
27	2	6649.856324402845
208	2	6649.856324417429
658	2	6649.856324418978
245	2	6649.856324428377
259	2	6649.856324451533
967	2	6649.856324460723
406	2	6649.856324470629
391	2	6649.856324480376
212	2	6649.856324515827
550	2	6649.856324520906
285	2	6649.856324553931
706	2	6649.856324576353
995	2	6649.856324613382
335	2	6649.856324619846
842	2	6649.856324681162
796	2	6649.856324686469
358	2	6649.856324711276
160	2	6649.856324724791
549	2	6649.85632474628
861	2	6649.856324808635
805	2	6649.856324858534
401	2	6649.856324874886
225	2	6649.8563248890105
296	2	6649.85632489398
